DEPT,Region,FOL,Question,Answer,Count,WTPS_Sum
Department not specified,Atlantic,English,MAN_60A,Strongly agree,2,3.6755
Department not specified,Atlantic,English,MAN_60A,Neither agree nor disagree,1,2.0092
Department not specified,Atlantic,English,MAN_60A,Strongly disagree,1,1.9835
Department not specified,Quebec (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,1,2.0629
Department not specified,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,3,8.5122
Department not specified,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Neither agree nor disagree,1,2.1912
Department not specified,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,1,2.5314
Department not specified,National Capital Region,English,MAN_60A,Strongly agree,10,21.157
Department not specified,National Capital Region,English,MAN_60A,Somewhat agree,5,9.7322
Department not specified,National Capital Region,French,MAN_60A,Strongly agree,1,2.0208
Department not specified,National Capital Region,French,MAN_60A,Somewhat agree,2,4.4924
Employment and Social Development Canada,Atlantic,English,MAN_60A,Strongly agree,26,54.4069
Employment and Social Development Canada,Atlantic,English,MAN_60A,Somewhat agree,17,35.3343
Employment and Social Development Canada,Atlantic,English,MAN_60A,Neither agree nor disagree,1,1.9763
Employment and Social Development Canada,Atlantic,English,MAN_60A,Somewhat disagree,3,6.0068
Employment and Social Development Canada,Atlantic,English,MAN_60A,Strongly disagree,1,1.9763
Employment and Social Development Canada,Atlantic,English,MAN_60A,Unable to assess,3,6.0068
Employment and Social Development Canada,Atlantic,French,MAN_60A,Strongly agree,14,28.5762
Employment and Social Development Canada,Atlantic,French,MAN_60A,Somewhat agree,12,23.8571
Employment and Social Development Canada,Atlantic,French,MAN_60A,Neither agree nor disagree,2,3.9526
Employment and Social Development Canada,Atlantic,French,MAN_60A,Somewhat disagree,2,3.9884
Employment and Social Development Canada,Atlantic,French,MAN_60A,Unable to assess,2,3.9666
Employment and Social Development Canada,Atlantic,Not stated,MAN_60A,Somewhat agree,1,1.9763
Employment and Social Development Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,4,7.9052
Employment and Social Development Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Somewhat agree,7,14.4294
Employment and Social Development Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,31,64.1579
Employment and Social Development Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,48,97.318
Employment and Social Development Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,8,16.172
Employment and Social Development Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,5,9.8815
Employment and Social Development Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Unable to assess,3,5.9289
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,46,94.0724
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,53,107.4706
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Neither agree nor disagree,8,17.3253
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat disagree,2,3.9526
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly disagree,2,3.9406
Employment and Social Development Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Unable to assess,3,5.9289
Employment and Social Development Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,5,9.8815
Employment and Social Development Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Somewhat agree,4,7.9052
Employment and Social Development Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,1,1.9763
Employment and Social Development Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,1,1.9763
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,27,55.9598
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,36,73.7129
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Neither agree nor disagree,2,3.9526
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat disagree,4,7.9052
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly disagree,1,1.9763
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Unable to assess,7,14.1957
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,2,4.0305
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Somewhat agree,3,6.0068
Employment and Social Development Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Somewhat disagree,1,1.9763
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,29,61.4131
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,21,43.1925
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Neither agree nor disagree,2,3.9526
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat disagree,3,6.0068
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Strongly disagree,1,1.9763
Employment and Social Development Canada,"British Columbia, Yukon",English,MAN_60A,Unable to assess,6,11.9853
Employment and Social Development Canada,"British Columbia, Yukon",French,MAN_60A,Strongly agree,2,4.3921
Employment and Social Development Canada,"British Columbia, Yukon",French,MAN_60A,Somewhat agree,1,1.9763
Employment and Social Development Canada,"British Columbia, Yukon",French,MAN_60A,Somewhat disagree,1,1.9763
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Strongly agree,167,355.4247
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Somewhat agree,61,130.5847
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Neither agree nor disagree,3,6.8638
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Somewhat disagree,5,10.4064
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Strongly disagree,4,9.1728
Employment and Social Development Canada,National Capital Region,English,MAN_60A,Unable to assess,8,16.3848
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Strongly agree,164,339.9849
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Somewhat agree,73,150.056
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Neither agree nor disagree,10,20.5634
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Somewhat disagree,6,12.9175
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Strongly disagree,10,20.8841
Employment and Social Development Canada,National Capital Region,French,MAN_60A,Unable to assess,1,1.9763
Employment and Social Development Canada,Not stated,English,MAN_60A,Somewhat agree,1,1.9763
Employment and Social Development Canada,Not stated,Not stated,MAN_60A,Somewhat agree,1,1.9763
Department of National Defence,Atlantic,English,MAN_60A,Strongly agree,52,106.2881
Department of National Defence,Atlantic,English,MAN_60A,Somewhat agree,18,45.2139
Department of National Defence,Atlantic,English,MAN_60A,Neither agree nor disagree,5,11.3406
Department of National Defence,Atlantic,English,MAN_60A,Strongly disagree,5,12.105
Department of National Defence,Atlantic,English,MAN_60A,Unable to assess,12,27.7897
Department of National Defence,Atlantic,French,MAN_60A,Strongly agree,7,13.3606
Department of National Defence,Atlantic,French,MAN_60A,Somewhat agree,1,1.8091
Department of National Defence,Atlantic,French,MAN_60A,Unable to assess,1,2.3893
Department of National Defence,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,2,3.6182
Department of National Defence,Quebec (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,1.7815
Department of National Defence,Quebec (excluding the National Capital Region),English,MAN_60A,Neither agree nor disagree,1,1.8091
Department of National Defence,Quebec (excluding the National Capital Region),English,MAN_60A,Somewhat disagree,1,1.8091
Department of National Defence,Quebec (excluding the National Capital Region),English,MAN_60A,Unable to assess,2,4.8381
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,53,106.4276
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,36,74.53
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,2,4.2379
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,4,8.8366
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly disagree,5,10.9099
Department of National Defence,Quebec (excluding the National Capital Region),French,MAN_60A,Unable to assess,7,13.6405
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,54,134.8694
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,14,31.5064
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Neither agree nor disagree,5,12.0088
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat disagree,5,13.2388
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly disagree,2,4.1889
Department of National Defence,Ontario (excluding the National Capital Region),English,MAN_60A,Unable to assess,7,14.5621
Department of National Defence,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,6,22.4872
Department of National Defence,Ontario (excluding the National Capital Region),French,MAN_60A,Somewhat agree,3,6.2755
Department of National Defence,Ontario (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,1,2.0609
Department of National Defence,Ontario (excluding the National Capital Region),French,MAN_60A,Unable to assess,4,7.2483
Department of National Defence,Ontario (excluding the National Capital Region),Not stated,MAN_60A,Strongly agree,1,1.8091
Department of National Defence,Ontario (excluding the National Capital Region),Not stated,MAN_60A,Somewhat disagree,1,1.8091
Department of National Defence,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,47,97.5717
