final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
Administrative Tribunals Support Service of Canada,All regions,All official languages,MAN_45BG_e,No,18,40.8476,1,19
Administrative Tribunals Support Service of Canada,All regions,All official languages,MAN_45BH_e,No,18,40.8476,1,19
Administrative Tribunals Support Service of Canada,All regions,English,MAN_25C_e,No,12,27.2276,1,19
Administrative Tribunals Support Service of Canada,All regions,English,MAN_50F_e,Yes,12,27.2276,1,18
Administrative Tribunals Support Service of Canada,All regions,English,MAN_50G_e,Yes,12,27.2276,1,18
Administrative Tribunals Support Service of Canada,All regions,French,MAN_10B_e,Yes,13,31.4275,1,18
Administrative Tribunals Support Service of Canada,All regions,French,MAN_45BG_e,No,14,31.5175,1,19
Administrative Tribunals Support Service of Canada,All regions,French,MAN_45BH_e,No,14,31.5175,1,19
Administrative Tribunals Support Service of Canada,National Capital Region,All official languages,MAN_45BG_e,No,17,38.604,1,19
Administrative Tribunals Support Service of Canada,National Capital Region,All official languages,MAN_45BH_e,No,17,38.604,1,19
Administrative Tribunals Support Service of Canada,National Capital Region,English,MAN_25C_e,No,11,24.984,1,19
Administrative Tribunals Support Service of Canada,National Capital Region,English,MAN_50F_e,Yes,11,24.984,1,18
Administrative Tribunals Support Service of Canada,National Capital Region,English,MAN_50G_e,Yes,11,24.984,1,18
Administrative Tribunals Support Service of Canada,National Capital Region,French,MAN_10B_e,Yes,13,31.4275,1,18
Administrative Tribunals Support Service of Canada,National Capital Region,French,MAN_45BG_e,No,14,31.5175,1,19
Administrative Tribunals Support Service of Canada,National Capital Region,French,MAN_45BH_e,No,14,31.5175,1,19
Agriculture and Agri-Food Canada,All regions,All official languages,ADV_15F_e,Yes,25,39.2532,1,18
Agriculture and Agri-Food Canada,All regions,All official languages,ADV_15H_e,Yes,25,39.2532,1,18
Agriculture and Agri-Food Canada,All regions,English,ADV_15F_e,Yes,16,25.3671,1,18
Agriculture and Agri-Food Canada,All regions,English,ADV_15H_e,Yes,16,25.3671,1,18
Agriculture and Agri-Food Canada,All regions,French,MAN_40BG_e,No,46,99.4885,1,19
Agriculture and Agri-Food Canada,All regions,French,MAN_45BG_e,No,49,106.7038,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_35A_e,No,22,50.3741,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_45BD_e,No,13,28.9938,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_45BI_e,No,13,28.9938,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_50E_e,No,16,37.4618,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_50I_e,No,16,37.4618,1,19
Agriculture and Agri-Food Canada,Atlantic,All official languages,MAN_55C_e,None,13,28.0478,1,20
Agriculture and Agri-Food Canada,Atlantic,English,MAN_35A_e,No,17,39.2879,1,19
Agriculture and Agri-Food Canada,Atlantic,English,MAN_50A_e,No,13,30.727,1,19
Agriculture and Agri-Food Canada,Atlantic,English,MAN_50E_e,No,13,30.727,1,19
Agriculture and Agri-Food Canada,Atlantic,English,MAN_50I_e,No,13,30.727,1,19
Agriculture and Agri-Food Canada,Atlantic,English,MAN_55C_e,None,11,24.1352,1,20
Agriculture and Agri-Food Canada,Atlantic,French,ALL_25_e,No,29,56.7308,1,19
